row,x,y,z,state
1,3.983081,1.531809,7.484163,0
2,3.983348,1.532268,7.482962,0
3,3.983741,1.533367,7.481287,0
4,3.984379,1.533988,7.479149,0
5,3.984728,1.535049,7.476712,0
6,3.985385,1.537642,7.472989,0
7,3.987761,1.540288,7.470764,0
8,3.990738,1.543137,7.467374,0
9,3.994131,1.54528,7.463128,0
10,3.996497,1.545487,7.458354,0
11,3.99698,1.543971,7.453553,0
12,3.996363,1.54108,7.453284,0
13,3.994267,1.538348,7.460268,0
14,3.99272,1.53591,7.473874,0
15,3.991303,1.532068,7.491742,0
16,3.989513,1.525628,7.509827,0
17,3.987103,1.517046,7.52731,0
18,3.984985,1.506859,7.537493,0
19,3.981997,1.496884,7.545757,0
20,3.978604,1.488976,7.551552,0
21,3.976279,1.483529,7.556555,0
22,3.975312,1.480559,7.561747,0
23,3.977368,1.478763,7.569795,0
24,3.981613,1.478717,7.578486,0
25,3.990047,1.481967,7.593131,0
26,4.006332,1.488262,7.612482,0
27,4.028769,1.49544,7.631413,0
28,4.059982,1.505016,7.648636,0
29,4.083813,1.512596,7.662321,0
30,4.104165,1.51933,7.673711,0
31,4.119859,1.524551,7.681837,0
32,4.130477,1.525172,7.682919,0
33,4.133751,1.527868,7.675785,0
34,4.126632,1.526222,7.659686,0
35,4.11148,1.52705,7.639036,0
36,4.084951,1.529331,7.611303,0
37,4.052324,1.529763,7.573982,0
38,4.023508,1.530329,7.526601,0
39,4.008026,1.527523,7.47014,0
40,4.008414,1.52658,7.437903,0
41,4.012108,1.527748,7.418458,0
42,4.013764,1.530587,7.40699,0
43,4.016183,1.532374,7.403296,0
44,4.017138,1.53572,7.404675,0
45,4.017416,1.539893,7.409775,0
46,4.017629,1.540268,7.415792,0
47,4.016363,1.541081,7.425997,0
48,4.013997,1.54118,7.440816,0
49,4.009544,1.540882,7.460606,0
50,3.999565,1.538595,7.486092,1
51,3.989248,1.535545,7.499295,1
52,3.982296,1.537205,7.495919,1
53,3.978497,1.531075,7.482793,1
54,3.974516,1.520272,7.465892,1
55,3.972625,1.513692,7.453183,1
56,3.967736,1.518173,7.445522,1
57,3.96422,1.513921,7.443365,1
58,3.958062,1.511185,7.444709,1
59,3.955715,1.507657,7.443583,1
60,3.947117,1.507488,7.436966,1
61,3.946603,1.500919,7.425202,1
62,3.941611,1.498686,7.411364,1
63,3.939924,1.493747,7.401984,1
64,3.937802,1.498366,7.39743,1
65,3.936359,1.496946,7.399211,1
66,3.931877,1.497647,7.408233,1
